organization,message_delay,handoff_count,response_rate,conflict_reports,project_delay_days
Org Y,7.266448745152183,7,99.85218237226071,0,0.33605368003847
Org Y,7.445471981852526,5,52.90233147257676,0,2.791813281647808
Org Y,7.7179605931111075,4,50.26269026077374,3,0.6019390158484589
Org X,2.13185728946072,1,73.67787799161775,1,4.974318283567117
Org Y,7.963426995155004,5,90.49728524542675,2,0.5391030029412547
Org Y,2.1484554788934127,7,78.77752776215569,3,1.3501365107557577
Org Z,5.292115791135521,8,61.281979093892964,4,3.136866749863076
Org Y,1.4524125402452155,1,55.0018418003647,4,1.1361042398491328
Org Y,6.792082319591184,2,58.13710597631541,1,1.7435372808359455
Org X,1.4701323593881472,8,56.12351680193905,1,3.3886468491842643
Org Z,1.8092323000397532,7,53.012649480744344,1,2.781443530578257
Org Z,2.67214754423092,9,70.82535809007345,2,1.1060003121000195
Org X,2.7701394799452665,5,71.91009425865515,0,3.7662038217168243
Org X,8.002551173511971,7,54.434418436556484,2,0.15210529746352175
Org Z,3.3217897183833944,7,97.37970808509102,1,1.0806116717547258
Org Y,5.623455936776902,2,97.93005206159475,4,3.1526282490417006
Org Y,5.482205047760279,8,85.45311241259589,0,0.7370698825831706
Org X,7.735620576695046,5,85.40539968002473,0,2.434886717176557
Org X,7.01819824162864,1,64.82347789371944,3,1.6584702590740463
Org Y,6.048696975601152,3,53.64781000341719,3,2.344601538376172
