organization,message_delay,handoff_count,response_rate,conflict_reports,project_delay_days
Team C,5.339979461824567,1,50.8791901326311,2,2.6069892783280646
Team B,5.322467181369953,1,49.37923039307793,1,0.06472215697317285
Team B,6.267880493747571,3,40.79596618137816,2,3.1738267747982234
Team A,5.241440160887002,1,59.813497204582426,1,1.1880576852812643
Team C,5.034469928241877,2,65.11582540174061,1,2.2416361150639514
Team A,1.4467852629418076,3,63.93343508390736,2,2.632249659970378
Team A,4.947542694980204,2,47.84759621219415,1,0.22877262523204367
Team B,1.6628707484029857,2,58.637942993097305,0,0.5672944914502405
Team B,3.4671669459950936,4,64.42513863780925,1,1.1696976867307516
Team A,2.580835069185854,4,50.26637902575595,0,3.201310250332487
Team C,1.5521244028068604,1,63.412443689474436,2,3.2257154056659894
Team A,4.361670354543356,5,44.7446895288215,1,3.451620198190007
