organization,message_delay,handoff_count,response_rate,conflict_reports,project_delay_days
Alpha,4.997282866717736,6,74.21690682339342,1,1.3648011015347623
Beta,4.207107306141861,6,79.85917801736394,4,2.819763464676278
Alpha,8.278478635395743,3,68.06594785011191,4,2.396176337261854
Delta,7.733178630637494,8,57.31902682351016,3,6.8654340556493345
Alpha,4.72475520237663,5,56.70682182900234,3,2.1651346367807873
Gamma,4.555989027921826,5,85.87565675433616,0,0.936761649939961
Alpha,7.587050117539388,5,56.81518580985267,3,5.568067984205978
Delta,5.5294892756708425,3,81.16565267361801,3,3.656984900712385
Alpha,8.234545444031582,4,78.40698618123001,1,1.276364867709126
Beta,4.548667001422478,4,92.17441449285137,4,6.920994208212868
Delta,2.941064370911206,9,67.77784648339295,2,4.600963604221137
Alpha,1.2862252853823097,8,52.454146399321814,4,1.2411931575118174
Beta,8.598238137641985,4,89.34005048776964,3,0.9326499658175184
Delta,5.277484443940294,6,98.28328558801135,4,6.12960417709987
Delta,0.8765300182016511,4,73.35398256496245,2,3.4169355705760083
Beta,3.139329491835942,1,71.49422542078875,2,2.6186801335802974
Alpha,6.806642374110931,4,64.81605843248208,0,1.456701348884624
Delta,3.0395813862997234,5,79.59850300996321,1,1.4282765477113193
Delta,8.699905179855746,1,55.65964019114208,1,0.06116485906332947
Beta,6.088760999095937,5,94.55187741601041,3,2.6659276423411464
Delta,5.594006313661256,9,78.71138653494727,4,0.9839900974686865
Alpha,3.670658531298918,4,85.17341255545793,2,5.636813598936925
Alpha,5.8287983591644545,7,88.45434380865092,0,5.596247400172576
Beta,5.192268357419881,3,62.960036390471075,2,5.375856569073321
Alpha,2.4038828931890976,6,77.97607274227923,0,0.6752590294607624
